embann.c:51:21: note: Considering inline candidate embann_initOutputLayer/31.
embann.c:51:21: missed:   will not early inline: embann_init/28->embann_initOutputLayer/31, growth 58 exceeds --param early-inlining-insns
embann.c:48:21: note: Considering inline candidate embann_initHiddenLayer/30.
embann.c:48:21: missed:   will not early inline: embann_init/28->embann_initHiddenLayer/30, growth 71 exceeds --param early-inlining-insns
embann.c:47:21: note: Considering inline candidate embann_initInputLayer/29.
embann.c:47:21: missed:   will not early inline: embann_init/28->embann_initInputLayer/29, growth 30 exceeds --param early-inlining-insns
embann.c:255:9: note: Considering inline candidate embann_getTrainingDataMean/35.
embann.c:255:9: missed:   will not early inline: embann_getTrainingDataStdDev/36->embann_getTrainingDataMean/35, growth 20 exceeds --param early-inlining-insns
embann.c:605:29: note: Considering inline candidate embann_tanhDerivative/48.
embann.c:605:29: optimized:  Inlining embann_tanhDerivative/48 into embann_train/47.
embann.c:571:29: note: Considering inline candidate embann_tanhDerivative/48.
embann.c:571:29: optimized:  Inlining embann_tanhDerivative/48 into embann_train/47.
embann.c:565:29: note: Considering inline candidate embann_tanhDerivative/48.
embann.c:565:29: optimized:  Inlining embann_tanhDerivative/48 into embann_train/47.
embann.c:361:43: note: Considering inline candidate embann_outputLayer/49.
embann.c:361:43: optimized:  Inlining embann_outputLayer/49 into embann_inputLayer/39.
embann.c:353:5: note: Considering inline candidate embann_sumAndSquash/40.
embann.c:353:5: missed:   will not early inline: embann_inputLayer/39->embann_sumAndSquash/40, growth 21 exceeds --param early-inlining-insns
embann.c:346:9: note: Considering inline candidate embann_sumAndSquash/40.
embann.c:346:9: missed:   will not early inline: embann_inputLayer/39->embann_sumAndSquash/40, growth 21 exceeds --param early-inlining-insns
embann.c:339:5: note: Considering inline candidate embann_sumAndSquashInput/41.
embann.c:339:5: missed:   will not early inline: embann_inputLayer/39->embann_sumAndSquashInput/41, growth 21 exceeds --param early-inlining-insns
embann.c:473:13: note: Considering inline candidate millis/56.
embann.c:473:13: optimized:  Inlining millis/56 into embann_trainDriverInTime/45.
embann.c:490:25: note: Considering inline candidate embann_train/47.
embann.c:490:25: missed:   will not early inline: embann_trainDriverInTime/45->embann_train/47, growth 107 exceeds --param early-inlining-insns
embann.c:486:29: note: Considering inline candidate embann_errorReporting/54.
embann.c:486:29: missed:   will not early inline: embann_trainDriverInTime/45->embann_errorReporting/54, growth 31 exceeds --param early-inlining-insns
embann.c:482:9: note: Considering inline candidate embann_inputLayer/39.
embann.c:482:9: missed:   will not early inline: embann_trainDriverInTime/45->embann_inputLayer/39, growth 41 exceeds --param early-inlining-insns
embann.c:481:9: note: Considering inline candidate embann_inputMinMaxScale/33.
embann.c:481:9: optimized:  Inlining embann_inputMinMaxScale/33 into embann_trainDriverInTime/45.
embann.c:471:26: note: Considering inline candidate millis/56.
embann.c:471:26: optimized:  Inlining millis/56 into embann_trainDriverInTime/45.
embann.c:520:25: note: Considering inline candidate embann_train/47.
embann.c:520:25: missed:   will not early inline: embann_trainDriverInError/46->embann_train/47, growth 107 exceeds --param early-inlining-insns
embann.c:516:29: note: Considering inline candidate embann_errorReporting/54.
embann.c:516:29: missed:   will not early inline: embann_trainDriverInError/46->embann_errorReporting/54, growth 31 exceeds --param early-inlining-insns
embann.c:512:9: note: Considering inline candidate embann_inputLayer/39.
embann.c:512:9: missed:   will not early inline: embann_trainDriverInError/46->embann_inputLayer/39, growth 41 exceeds --param early-inlining-insns
embann.c:511:9: note: Considering inline candidate embann_inputMinMaxScale/33.
embann.c:511:9: optimized:  Inlining embann_inputMinMaxScale/33 into embann_trainDriverInError/46.
embann.c:34:21: note: Considering inline candidate embann_init/28.
embann.c:34:21: missed:   will not early inline: main/27->embann_init/28, growth 20 exceeds --param early-inlining-insns
embann.c:33:21: note: Considering inline candidate embann_benchmark/55.
embann.c:33:21: missed:   will not early inline: main/27->embann_benchmark/55, growth 158 exceeds --param early-inlining-insns
missed:   not inlinable: embann_benchmark/55 -> __builtin_stack_restore/70, function body not available
embann.c:386:5: missed: not vectorized: control flow in loop.
embann.c:389:9: optimized: loop vectorized using 32 byte vectors
embann.c:337:9: note: vectorized 1 loops in function.
embann.c:391:46: missed: statement clobbers memory: vect__67.484_208 = __builtin_ia32_gatheraltdiv8sf  (vect_cst__211, 0B, vect_209, vect_cst__210, 1);
embann.c:373:46: missed: failed: evolution of base is not affine.
embann.c:373:81: missed: failed: evolution of base is not affine.
embann.c:373:46: missed: failed: evolution of base is not affine.
embann.c:373:81: missed: failed: evolution of base is not affine.
embann.c:629:41: missed: failed: evolution of offset is not affine.
embann.c:391:43: missed: failed: evolution of base is not affine.
embann.c:391:46: missed: failed: evolution of base is not affine.
embann.c:391:78: missed: failed: evolution of offset is not affine.
embann.c:391:81: missed: failed: evolution of base is not affine.
embann.c:389:9: optimized: loop with 6 iterations completely unrolled (header execution count 375135673)
embann.c:391:46: missed: statement clobbers memory: vect__67.484_208 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_209, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:391:46: missed: statement clobbers memory: vect__67.484_206 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_207, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:391:81: missed: statement clobbers memory: vect__70.490_195 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_196, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:391:81: missed: statement clobbers memory: vect__70.490_193 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_194, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:370:31: missed: failed: evolution of base is not affine.
embann.c:373:46: missed: failed: evolution of base is not affine.
embann.c:373:81: missed: failed: evolution of base is not affine.
embann.c:375:31: missed: failed: evolution of base is not affine.
embann.c:373:46: missed: failed: evolution of base is not affine.
embann.c:373:81: missed: failed: evolution of base is not affine.
embann.c:368:5: missed: couldn't vectorize loop
embann.c:368:5: missed: not vectorized: control flow in loop.
embann.c:371:9: missed: couldn't vectorize loop
embann.c:373:35: missed: not vectorized: complicated access pattern.
embann.c:365:5: note: vectorized 0 loops in function.
embann.c:373:46: missed: failed: evolution of base is not affine.
embann.c:373:81: missed: failed: evolution of base is not affine.
embann.c:388:31: missed: failed: evolution of base is not affine.
embann.c:391:46: missed: failed: evolution of base is not affine.
embann.c:391:81: missed: failed: evolution of base is not affine.
embann.c:383:5: missed: failed: evolution of base is not affine.
embann.c:393:31: missed: failed: evolution of base is not affine.
embann.c:391:46: missed: failed: evolution of base is not affine.
embann.c:391:81: missed: failed: evolution of base is not affine.
embann.c:386:5: missed: couldn't vectorize loop
embann.c:386:5: missed: not vectorized: control flow in loop.
embann.c:389:9: optimized: loop vectorized using 32 byte vectors
embann.c:383:5: note: vectorized 1 loops in function.
embann.c:391:46: missed: statement clobbers memory: vect__10.595_48 = __builtin_ia32_gatheraltdiv8sf  (vect_cst__51, 0B, vect_49, vect_cst__50, 1);
embann.c:391:43: missed: failed: evolution of base is not affine.
embann.c:391:46: missed: failed: evolution of base is not affine.
embann.c:391:78: missed: failed: evolution of offset is not affine.
embann.c:391:81: missed: failed: evolution of base is not affine.
embann.c:389:9: optimized: loop with 6 iterations completely unrolled (header execution count 46365075)
embann.c:391:46: missed: statement clobbers memory: vect__10.595_48 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_49, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:391:46: missed: statement clobbers memory: vect__10.595_46 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_47, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:391:81: missed: statement clobbers memory: vect__13.601_84 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_85, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:391:81: missed: statement clobbers memory: vect__13.601_82 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_81, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:405:42: missed: statement clobbers memory: trainingDataNode_13 = malloc (_2);
embann.c:414:8: note: ***** Re-trying analysis with vector size 16
embann.c:433:42: missed: statement clobbers memory: trainingDataNode_14 = malloc (_2);
embann.c:440:4: missed: statement clobbers memory: __builtin_memcpy (_4, data_21(D), _1);
embann.c:440:4: note: ***** Re-trying analysis with vector size 16
embann.c:440:4: missed: statement clobbers memory: __builtin_memcpy (_4, data_21(D), _1);
embann.c:618:27: missed: statement clobbers memory: _120 = powf (_119, 2.0e+0);
embann.c:594:85: missed: failed: evolution of base is not affine.
embann.c:594:88: missed: failed: evolution of base is not affine.
embann.c:597:64: missed: failed: evolution of base is not affine.
embann.c:606:66: missed: failed: evolution of base is not affine.
embann.c:608:47: missed: failed: evolution of base is not affine.
embann.c:606:66: missed: failed: evolution of base is not affine.
embann.c:552:5: missed: failed: evolution of base is not affine.
embann.c:581:89: missed: failed: evolution of base is not affine.
embann.c:581:89: missed: failed: evolution of base is not affine.
embann.c:588:5: missed: couldn't vectorize loop
embann.c:588:5: missed: not vectorized: loop nest containing two or more consecutive inner loops cannot be vectorized
embann.c:601:9: missed: couldn't vectorize loop
embann.c:606:66: missed: not vectorized: not suitable for scatter store _73->weight = _81;
embann.c:591:9: missed: couldn't vectorize loop
embann.c:594:85: missed: not vectorized: not suitable for gather load _59 = _57->params[_212];
embann.c:561:5: missed: couldn't vectorize loop
embann.c:561:5: missed: not vectorized: control flow in loop.
embann.c:577:9: optimized: loop vectorized using 32 byte vectors
embann.c:552:5: note: vectorized 1 loops in function.
embann.c:594:85: missed: failed: evolution of base is not affine.
embann.c:594:88: missed: failed: evolution of base is not affine.
embann.c:597:64: missed: failed: evolution of base is not affine.
embann.c:606:66: missed: failed: evolution of base is not affine.
embann.c:608:47: missed: failed: evolution of base is not affine.
embann.c:606:66: missed: failed: evolution of base is not affine.
embann.c:581:89: missed: statement clobbers memory: vect__46.645_173 = __builtin_ia32_gatheraltdiv8sf  (vect_cst__176, 0B, vect_174, vect_cst__175, 1);
embann.c:581:86: missed: failed: evolution of offset is not affine.
embann.c:581:89: missed: failed: evolution of base is not affine.
embann.c:579:44: missed: failed: evolution of offset is not affine.
embann.c:577:9: optimized: loop with 6 iterations completely unrolled (header execution count 46365071)
embann.c:553:1: missed: statement clobbers memory: saved_stack.108_88 = __builtin_stack_save ();
embann.c:554:11: missed: statement clobbers memory: dOutputErrorToOutputSum.78_93 = __builtin_alloca_with_align (_90, 32);
embann.c:557:11: missed: statement clobbers memory: outputNeuronWeightChange.81_98 = __builtin_alloca_with_align (_96, 32);
embann.c:581:89: missed: statement clobbers memory: vect__46.645_173 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_174, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:581:89: missed: statement clobbers memory: vect__46.645_171 = __builtin_ia32_gatheraltdiv8sf  ({ 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 }, 0B, vect_172, {  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan,  Nan }, 1);
embann.c:552:5: missed: statement clobbers memory: __builtin_stack_restore (saved_stack.108_88);
embann.c:629:41: missed: failed: evolution of offset is not affine.
embann.c:629:41: missed: failed: evolution of offset is not affine.
embann.c:626:5: missed: couldn't vectorize loop
embann.c:622:9: missed: not vectorized: unsupported use in stmt.
embann.c:622:9: note: vectorized 0 loops in function.
embann.c:629:41: missed: failed: evolution of offset is not affine.
embann.c:705:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f\x1b[0m\n", _112);
embann.c:664:55: missed: couldn't vectorize loop
embann.c:664:55: missed: not vectorized: control flow in loop.
embann.c:688:21: missed: couldn't vectorize loop
embann.c:688:21: missed: not vectorized: number of iterations cannot be computed.
embann.c:652:9: missed: couldn't vectorize loop
embann.c:652:9: missed: not vectorized: number of iterations cannot be computed.
embann.c:642:5: missed: couldn't vectorize loop
embann.c:642:5: missed: not vectorized: number of iterations cannot be computed.
embann.c:639:5: note: vectorized 0 loops in function.
embann.c:644:132: missed: failed: evolution of base is not affine.
embann.c:644:135: missed: failed: evolution of base is not affine.
embann.c:644:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %0.3f, \x1b[0m\n", _5);
embann.c:654:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - | Hidden Layer %d \x1b[0m\n", _27);
embann.c:690:153: missed: failed: evolution of base is not affine.
embann.c:690:156: missed: failed: evolution of base is not affine.
embann.c:690:40: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %-15.3f| \x1b[0m\n", _69);
embann.c:641:20: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \nInput: [\x1b[0m"[0]);
embann.c:644:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %0.3f, \x1b[0m\n", _5);
embann.c:646:20: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %0.3f]\x1b[0m\n", _21);
embann.c:648:20: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \nInput Layer | Hidden Layer \x1b[0m"[0]);
embann.c:657:20: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - | Output Layer\x1b[0m"[0]);
embann.c:651:24: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - 1 \x1b[0m"[0]);
embann.c:654:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - | Hidden Layer %d \x1b[0m\n", _27);
embann.c:673:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %-12.3f| \x1b[0m\n", _41);
embann.c:677:32: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core -             | \x1b[0m"[0]);
embann.c:684:36: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %-13.3f| \x1b[0m\n", _50);
embann.c:690:40: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %-15.3f| \x1b[0m\n", _69);
embann.c:696:32: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core -              | \x1b[0m"[0]);
embann.c:699:36: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core -               | \x1b[0m"[0]);
embann.c:708:24: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \n\x1b[0m"[0]);
embann.c:705:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f\x1b[0m\n", _112);
embann.c:708:24: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \n\x1b[0m"[0]);
embann.c:708:24: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \n\x1b[0m"[0]);
embann.c:712:20: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - I think this is output %d \x1b[0m\n", _137);
embann.c:720:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - \nInput Neuron %d: %.3f\x1b[0m\n", _19, _8);
embann.c:725:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - \nERROR: You\'ve asked for input neuron %d when only %d exist\x1b[0m\n", _19, _17);
embann.c:740:209: missed: failed: evolution of base is not affine.
embann.c:740:230: missed: failed: evolution of base is not affine.
embann.c:740:249: missed: failed: evolution of base is not affine.
embann.c:740:252: missed: failed: evolution of base is not affine.
embann.c:740:156: missed: failed: evolution of base is not affine.
embann.c:740:185: missed: failed: evolution of base is not affine.
embann.c:740:188: missed: failed: evolution of base is not affine.
embann.c:740:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f-*->%.3f |\x1b[0m\n", _18, _12);
embann.c:738:9: missed: couldn't vectorize loop
embann.c:738:9: missed: not vectorized: control flow in loop.
embann.c:731:5: note: vectorized 0 loops in function.
embann.c:740:209: missed: failed: evolution of base is not affine.
embann.c:740:230: missed: failed: evolution of base is not affine.
embann.c:740:249: missed: failed: evolution of base is not affine.
embann.c:740:252: missed: failed: evolution of base is not affine.
embann.c:740:156: missed: failed: evolution of base is not affine.
embann.c:740:185: missed: failed: evolution of base is not affine.
embann.c:740:188: missed: failed: evolution of base is not affine.
embann.c:740:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f-*->%.3f |\x1b[0m\n", _18, _12);
embann.c:736:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - \nOutput Neuron %d:\x1b[0m\n", _63);
embann.c:740:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f-*->%.3f |\x1b[0m\n", _18, _12);
embann.c:747:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core -  = %.3f\x1b[0m\n", _26);
embann.c:749:28: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \n\x1b[0m"[0]);
embann.c:754:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - \nERROR: You\'ve asked for output neuron %d when only %d exist\x1b[0m\n", _63, _52);
embann.c:773:194: missed: failed: evolution of base is not affine.
embann.c:773:213: missed: failed: evolution of base is not affine.
embann.c:773:216: missed: failed: evolution of base is not affine.
embann.c:773:147: missed: failed: evolution of base is not affine.
embann.c:773:150: missed: failed: evolution of base is not affine.
embann.c:773:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f-*->%.3f |\x1b[0m\n", _13, _10);
embann.c:789:221: missed: failed: evolution of base is not affine.
embann.c:789:240: missed: failed: evolution of base is not affine.
embann.c:789:243: missed: failed: evolution of base is not affine.
embann.c:789:162: missed: failed: evolution of base is not affine.
embann.c:789:165: missed: failed: evolution of base is not affine.
embann.c:789:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f-*->%.3f |\x1b[0m\n", _36, _33);
embann.c:771:13: missed: couldn't vectorize loop
embann.c:771:13: missed: not vectorized: control flow in loop.
embann.c:787:13: missed: couldn't vectorize loop
embann.c:787:13: missed: not vectorized: control flow in loop.
embann.c:761:5: note: vectorized 0 loops in function.
embann.c:789:221: missed: failed: evolution of base is not affine.
embann.c:789:240: missed: failed: evolution of base is not affine.
embann.c:789:243: missed: failed: evolution of base is not affine.
embann.c:789:162: missed: failed: evolution of base is not affine.
embann.c:789:165: missed: failed: evolution of base is not affine.
embann.c:789:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f-*->%.3f |\x1b[0m\n", _36, _33);
embann.c:773:194: missed: failed: evolution of base is not affine.
embann.c:773:213: missed: failed: evolution of base is not affine.
embann.c:773:216: missed: failed: evolution of base is not affine.
embann.c:773:147: missed: failed: evolution of base is not affine.
embann.c:773:150: missed: failed: evolution of base is not affine.
embann.c:773:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f-*->%.3f |\x1b[0m\n", _13, _10);
embann.c:766:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - \nHidden Neuron %d:\x1b[0m\n", _93);
embann.c:773:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f-*->%.3f |\x1b[0m\n", _13, _10);
embann.c:778:36: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core -  = %.3f\x1b[0m\n", _21);
embann.c:781:32: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \n\x1b[0m"[0]);
embann.c:789:32: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %.3f-*->%.3f |\x1b[0m\n", _36, _33);
embann.c:795:36: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core -  = %.3f\x1b[0m\n", _53);
embann.c:798:32: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \n\x1b[0m"[0]);
embann.c:804:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - \nERROR: You\'ve asked for hidden neuron %d when only %d exist\x1b[0m\n", _93, _81);
embann.c:823:140: missed: failed: evolution of base is not affine.
embann.c:823:143: missed: failed: evolution of base is not affine.
embann.c:823:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %-7.3f | \x1b[0m\n", _26);
embann.c:814:5: missed: couldn't vectorize loop
embann.c:814:5: missed: not vectorized: control flow in loop.
embann.c:811:5: note: vectorized 0 loops in function.
embann.c:823:140: missed: failed: evolution of base is not affine.
embann.c:823:143: missed: failed: evolution of base is not affine.
embann.c:823:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %-7.3f | \x1b[0m\n", _26);
embann.c:813:20: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \n\x1b[0m"[0]);
embann.c:818:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %-7.3f | \x1b[0m\n", _6);
embann.c:823:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %-7.3f | \x1b[0m\n", _26);
embann.c:193:52: missed: failed: evolution of base is not affine.
embann.c:473:11: missed: couldn't vectorize loop
embann.c:473:11: missed: not vectorized: control flow in loop.
embann.c:191:5: missed: couldn't vectorize loop
embann.c:193:52: missed: not vectorized: not suitable for scatter store _56->activation = _57;
embann.c:462:5: note: vectorized 0 loops in function.
embann.c:193:52: missed: failed: evolution of base is not affine.
embann.c:468:24: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \nOutput Errors: \x1b[0m"[0]);
embann.c:916:5: missed: statement clobbers memory: gettimeofday (&time, 0B);
embann.c:475:24: missed: statement clobbers memory: _6 = random ();
embann.c:476:29: missed: statement clobbers memory: _12 = random ();
embann.c:482:9: missed: statement clobbers memory: embann_inputLayer ();
embann.c:486:29: missed: statement clobbers memory: embann_errorReporting (_74);
embann.c:487:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %u | %u \x1b[0m\n", _30, _29);
embann.c:490:25: missed: statement clobbers memory: embann_train (_74, learningRate_44(D));
embann.c:916:5: missed: statement clobbers memory: gettimeofday (&time, 0B);
embann.c:525:46: missed: statement clobbers memory: _123 = pow (_50, 2.0e+0);
embann.c:193:52: missed: failed: evolution of base is not affine.
embann.c:495:5: missed: failed: evolution of offset is not affine.
embann.c:495:5: missed: failed: evolution of base is not affine.
embann.c:508:24: missed: couldn't vectorize loop
embann.c:508:24: missed: not vectorized: loop nest containing two or more consecutive inner loops cannot be vectorized
embann.c:536:115: missed: couldn't vectorize loop
embann.c:536:115: missed: not vectorized: control flow in loop.
embann.c:521:9: missed: couldn't vectorize loop
embann.c:521:9: missed: not vectorized: control flow in loop.
embann.c:191:5: missed: couldn't vectorize loop
embann.c:193:52: missed: not vectorized: not suitable for scatter store _132->activation = _133;
embann.c:495:5: note: vectorized 0 loops in function.
embann.c:495:5: missed: failed: evolution of offset is not affine.
embann.c:495:5: missed: failed: evolution of base is not affine.
embann.c:536:115: missed: failed: evolution of offset is not affine.
embann.c:536:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %f\x1b[0m\n", _86);
embann.c:193:52: missed: failed: evolution of base is not affine.
embann.c:496:1: missed: statement clobbers memory: saved_stack.76_83 = __builtin_stack_save ();
embann.c:498:11: missed: statement clobbers memory: currentCost.66_77 = __builtin_alloca_with_align (_79, 32);
embann.c:503:24: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - \nOutput Errors: \x1b[0m"[0]);
embann.c:508:24: missed: statement clobbers memory: _14 = random ();
embann.c:509:29: missed: statement clobbers memory: _20 = random ();
embann.c:512:9: missed: statement clobbers memory: embann_inputLayer ();
embann.c:516:29: missed: statement clobbers memory: embann_errorReporting (_154);
embann.c:517:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %u | %u \x1b[0m\n", _24, _40);
embann.c:520:25: missed: statement clobbers memory: embann_train (_154, learningRate_11(D));
embann.c:536:28: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %f\x1b[0m\n", _86);
embann.c:537:28: missed: statement clobbers memory: __builtin_puts (&"\x1b[0;32mI: Embann Core - , \x1b[0m"[0]);
embann.c:547:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %f\x1b[0m\n", _105);
embann.c:547:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %f\x1b[0m\n", _111);
embann.c:495:5: missed: statement clobbers memory: __builtin_stack_restore (saved_stack.76_83);
embann.c:547:24: missed: statement clobbers memory: printf ("\x1b[0;32mI: Embann Core - %f\x1b[0m\n", _108);
embann.c:897:5: missed: couldn't vectorize loop
embann.c:902:27: missed: not vectorized: complicated access pattern.
embann.c:899:9: optimized: loop vectorized using 32 byte vectors
embann.c:883:5: missed: couldn't vectorize loop
embann.c:888:26: missed: not vectorized: complicated access pattern.
embann.c:885:9: optimized: loop vectorized using 32 byte vectors
embann.c:869:5: missed: couldn't vectorize loop
embann.c:874:24: missed: not vectorized: complicated access pattern.
embann.c:871:9: missed: couldn't vectorize loop
embann.c:873:24: missed: not vectorized: relevant stmt not supported: _52 = _50 / _51;
embann.c:860:5: missed: couldn't vectorize loop
embann.c:863:38: missed: statement clobbers memory: _40 = random ();
embann.c:853:5: missed: couldn't vectorize loop
embann.c:856:36: missed: statement clobbers memory: _31 = random ();
embann.c:846:5: missed: couldn't vectorize loop
embann.c:849:27: missed: statement clobbers memory: _20 = random ();
embann.c:829:5: note: vectorized 2 loops in function.
embann.c:849:27: missed: statement clobbers memory: _20 = random ();
embann.c:856:36: missed: statement clobbers memory: _31 = random ();
embann.c:863:38: missed: statement clobbers memory: _40 = random ();
embann.c:899:9: optimized: loop with 2 iterations completely unrolled (header execution count 70307790)
embann.c:885:9: optimized: loop with 6 iterations completely unrolled (header execution count 47499424)
embann.c:830:1: missed: statement clobbers memory: saved_stack.287_79 = __builtin_stack_save ();
embann.c:831:29: missed: statement clobbers memory: _1 = random ();
embann.c:833:43: missed: statement clobbers memory: testInt.264_61 = __builtin_alloca_with_align (_62, 256);
embann.c:834:41: missed: statement clobbers memory: testFloat.266_17 = __builtin_alloca_with_align (_62, 256);
embann.c:835:42: missed: statement clobbers memory: testDouble.268_13 = __builtin_alloca_with_align (_15, 256);
embann.c:836:43: missed: statement clobbers memory: testIntWeight.270_11 = __builtin_alloca_with_align (_62, 256);
embann.c:837:41: missed: statement clobbers memory: testFloatWeight.272_9 = __builtin_alloca_with_align (_62, 256);
embann.c:838:42: missed: statement clobbers memory: testDoubleWeight.274_7 = __builtin_alloca_with_align (_15, 256);
embann.c:839:43: missed: statement clobbers memory: testIntBias.276_4 = __builtin_alloca_with_align (_62, 256);
